Date,Open,High,Low,Raw_Close,Adj_Close,Volume,Return,LogReturn,Volatility,RSI_14,Ticker,volume_today,value_today,volume_ratio_3m,volume_change_pct,price_change_pct,intraday_range_pct,gap_open_pct,candle_type,ma5,ma20,ma60,ma5_cross_ma20,price_above_ma60,ma_alignment_score,atr_14,bollinger_band_width,volatility_spike,rsi_14,macd,macd_signal_diff,stochastic_k
2015-03-03,11.43000030517578,11.456666946411133,11.350000381469728,11.373332977294922,9.659600257873535,20190300.0,-0.0158640137449125,-0.0159911940645597,0.1066665649414044,36.97018210926556,CSX,20190300.0,195030227.08654404,,-21.098970667542027,-1.586401374491253,1.104254442148997,16.45072594035481,음봉,9.773976135253907,9.953644609451294,,False,False,0,0.21238074983869293,0.06500508421700464,False,36.97018210926556,-0.020652540822146292,-0.042507258203900805,-174.86905881180695
2015-03-04,11.333333015441896,11.42666721343994,11.220000267028809,11.41333293914795,9.693574905395508,37623300.0,0.0035171898023709,0.0035110189554448,0.206666946411131,32.9426292517083,CSX,37623300.0,364704276.7381668,,86.34344214796215,0.35171898023709236,2.1319992719723952,17.32714307928118,음봉,9.719054031372071,9.949906253814698,,False,False,0,0.20690461567469992,0.06502950777606048,False,32.9426292517083,-0.031535220084929705,-0.04269540097969883,-139.187764905586
2015-03-05,11.373332977294922,11.390000343322754,11.260000228881836,11.293333053588867,9.591654777526855,21197100.0,-0.010514194078381,-0.0105698587401097,0.1300001144409179,20.232907170650364,CSX,21197100.0,203315265.4847145,,-43.659647080399644,-1.0514194078381056,1.3553460529616521,17.328571639390226,음봉,9.694706535339355,9.942340326309203,,False,False,0,0.20214278357369547,0.07191294634707111,False,20.232907170650364,-0.047067367925748727,-0.04656760474478711,-148.48139638832677
2015-03-06,11.199999809265137,11.31666660308838,11.18333339691162,11.226667404174805,9.535037994384766,20794800.0,-0.0059027127701407,-0.0059202026382375,0.1333332061767613,21.70547720564123,CSX,20794800.0,198279208.08563232,,-1.8979011279844915,-0.5902712770140761,1.3983500249845044,16.768170550785634,음봉,9.659035682678223,9.923065805435181,,False,False,0,0.18619040080479213,0.07775820343443206,False,21.70547720564123,-0.06279390284525732,-0.04982296087418748,-206.03712180816754
2015-03-09,11.19333267211914,11.34000015258789,11.19333267211914,11.31666660308838,9.611474990844728,16678200.0,0.008016433338281,0.0079844724312471,0.14666748046875,28.24047101317928,CSX,16678200.0,160302102.19230655,,-19.796295227653072,0.8016433338281059,1.5259622545806548,17.391589616223378,음봉,9.618268585205078,9.904231023788451,,False,False,0,0.17166669028145926,0.07790607546805202,False,28.240471013179274,-0.0687287847848026,-0.04459743206261906,-200.66266123681254
2015-03-10,11.186667442321776,11.24666690826416,11.143333435058594,11.143333435058594,9.464258193969728,23778600.0,-0.0153167746901728,-0.0154352882042166,0.1033334732055664,27.80830754746286,CSX,23778600.0,225046809.89112857,,42.572939525848106,-1.5316774690172896,1.0918285520930382,16.388665142212552,음봉,9.579200172424317,9.880008220672607,,False,False,0,0.1645238058907645,0.08526101914012124,False,27.80830754746286,-0.08347519335810105,-0.047467545012096005,-211.64795983992738
2015-03-11,11.199999809265137,11.279999732971191,11.15666675567627,11.220000267028809,9.529374122619627,13690200.0,0.0068801935994717,0.0068566330730766,0.1233329772949218,29.38572021403669,CSX,13690200.0,130459037.61348721,,-42.42638338674271,0.6880193599471784,1.2942400592938166,18.33996473597221,음봉,9.54636001586914,9.855800199508668,,False,False,0,0.15809515544346414,0.08547043902628189,False,29.385720214036695,-0.08919283473667328,-0.04254275275758144,-203.44007664649996
2015-03-12,11.266667366027832,11.436667442321776,11.266667366027832,11.393333435058594,9.676586151123049,16527900.0,0.0154482368526163,0.0153301276742534,0.1700000762939435,36.98296166919122,CSX,16527900.0,159933648.24714664,,20.727965990270402,1.5448236852616315,1.7568187131182995,18.230927037321763,음봉,9.56334629058838,9.833175373077392,,False,False,0,0.15761899948120117,0.08566709511900948,False,36.98296166919122,-0.08161832658946189,-0.02797175757597968,-184.88395436311657
2015-03-13,11.369999885559082,11.399999618530272,11.25333309173584,11.376667022705078,9.662434577941896,24512400.0,-0.0014624551427685,-0.0014635255740566,0.1466665267944318,33.48888770228032,CSX,24512400.0,236849461.34834293,,48.30922258726154,-0.14624551427685484,1.5179044743987478,17.500115309152687,음봉,9.588825607299805,9.800965213775635,,False,False,0,0.15952375956944057,0.0718588022997125,False,33.48888770228032,-0.07581783988513635,-0.017735577232439056,-186.66776459330853
2015-03-16,11.456666946411133,11.5600004196167,11.40666675567627,11.553333282470703,9.812478065490724,17276100.0,0.0155285385208565,0.0154092045689336,0.1533336639404297,42.20365702744144,CSX,17276100.0,169521352.3072243,,-29.520977138101536,1.552853852085656,1.562639558703171,18.569154119451838,음봉,9.629026222229005,9.783161926269532,,False,False,0,0.16357135772705092,0.06536318841804846,False,42.20365702744144,-0.059074537294812046,-0.0007937681784674078,-179.8453758380091
2015-03-17,11.473333358764648,11.576666831970217,11.463333129882812,11.543333053588867,9.803983688354492,13130100.0,-0.0008656709426038,-0.0008660458520753,0.1133337020874041,43.74995462511636,CSX,13130100.0,128727286.22646332,,-23.998471877333426,-0.08656709426038134,1.1559964366528452,16.925951652467354,음봉,9.69697132110596,9.768175268173218,,False,False,0,0.16047620773315455,0.06315577265532733,False,43.74995462511636,-0.045938078731941445,0.009873639505717707,-205.00240851299867
2015-03-18,11.5,11.729999542236328,11.43333339691162,11.686667442321776,9.925722122192385,17675100.0,0.012417241573188,0.0123407799400906,0.2966661453247088,58.99283946308902,CSX,17675100.0,175438131.08196262,,34.615120981561454,1.241724157318802,2.9888620865318107,17.299256767023124,음봉,9.77624092102051,9.76575746536255,,True,False,0,0.1552380834306992,0.06317140873938713,True,58.99283946308902,-0.025862317376505572,0.023958525283980812,-207.54758080771927
2015-03-19,11.636667251586914,11.68333339691162,11.510000228881836,11.583333015441896,9.837958335876465,14147400.0,-0.0088420555437164,-0.0088813784855329,0.1733331680297833,54.91069783739356,CSX,14147400.0,139181531.7609787,,-19.95858580715244,-0.884205554371642,1.7618815013444669,17.23748769441288,음봉,9.808515357971192,9.75697865486145,,True,False,0,0.15261902127947138,0.063228247013409,False,54.91069783739356,-0.01655631330761409,0.02661073904186189,-222.5073313782991
2015-03-20,11.630000114440918,11.783332824707031,11.630000114440918,11.720000267028809,9.95403003692627,36818400.0,0.0117983525734726,0.0117292946607663,0.1533327102661132,55.40830956212389,CSX,36818400.0,366491459.51156616,,160.24852623096822,1.1798352573472615,1.5404083541771316,18.215586175328113,음봉,9.866834449768067,9.753721618652344,,True,False,0,0.1540476254054477,0.06324936066602414,False,55.40830956212389,-0.00018622175586990863,0.034383750276497704,-185.82883317836112
2015-03-23,11.66333293914795,11.666666984558104,11.213333129882812,11.233332633972168,9.54069709777832,28091700.0,-0.041524180418847,-0.0424109441686926,0.4533338546752912,46.139732404648974,CSX,28091700.0,268014400.66165924,,-23.70200769180627,-4.152418041884709,4.751579994934082,17.171968497992392,음봉,9.812478256225585,9.726697731018067,,True,False,0,0.1788095746721539,0.05763011303514544,True,46.139732404648974,-0.01914005769456395,0.01234366892151914,-250.4121665116944
2015-03-24,11.216667175292969,11.383333206176758,11.15666675567627,11.25333309173584,9.557684898376465,28136100.0,0.0017805617790864,0.0017789784581504,0.2266664505004882,45.5390400910657,CSX,28136100.0,268915978.06921005,,0.15805380236866284,0.17805617790864758,2.3715622863753483,17.56653691379554,음봉,9.76321849822998,9.70334153175354,,True,False,0,0.18023811067853654,0.05193337049777036,False,45.5390400910657,-0.03245089195554307,-0.0007737191062995655,-247.7578201368524
2015-03-25,11.31999969482422,11.329999923706056,11.100000381469728,11.103333473205566,9.430285453796388,23928600.0,-0.0133295296857628,-0.013419165291358,0.2299995422363281,44.7897716845486,CSX,23928600.0,225653528.50971225,,-14.95409811594357,-1.3329529685762842,2.4389457070330387,18.43872041384326,음봉,9.664131164550781,9.676446533203125,,False,False,0,0.1873809269496373,0.05412571457225937,False,44.7897716845486,-0.05234646302452717,-0.016535207059332896,-244.34884428478583
2015-03-26,11.029999732971191,11.143333435058594,10.903332710266112,11.09000015258789,9.418960571289062,29501700.0,-0.0012009055889996,-0.001201627253942,0.2400007247924822,46.13922099277177,CSX,29501700.0,277875349.08599854,,23.290539354579877,-0.12009055889996567,2.5480595547246905,16.963582778194688,음봉,9.580331611633301,9.661724948883057,,False,False,0,0.19500003542218877,0.0553803247834191,False,46.13922099277177,-0.0682033385177867,-0.025913383854947236,-168.6786302204174
2015-03-27,11.053333282470703,11.08666706085205,10.923333168029783,11.06666660308838,9.399142265319824,19771500.0,-0.0021040863075325,-0.0021063030070912,0.1633338928222674,42.66133577684092,CSX,19771500.0,185835141.2987709,,-32.981828165834514,-0.210408630753256,1.737753171636983,17.351943442289656,음봉,9.469354057312012,9.646012449264527,,False,False,0,0.19619049344744002,0.057525093869099604,False,42.66133577684092,-0.08137843852916404,-0.03127051467659268,-170.93071015131937
